,enumerator,geo_location,district,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month
46,yogendra,28.0020222 81.6523501 97.78657990575097 4.854,Banke,sw,bk-sw-29,,,,40,6.0,1.6,4,,2021-07-28,,bk-sw-29,Jul
47,yogendra,28.0242569 81.6002579 94.10043283194646 4.551,Banke,sw,bk-sw-11_1,,,,50,5.0,2.15,2.35,,2021-07-28,,bk-sw-11_1,Jul
48,yogendra,28.0507396 81.5861596 101.01187512783498 4.854,Banke,sw,bk-sw-28,,,,55,6.0,2.25,3.2,,2021-07-28,,bk-sw-28,Jul
49,Anita,28.3062454 81.3597585 93.08310155628344 4.854,Bardiya,sw,,,bd-sw-10,,60,5.0,1.5,2.9,,2021-06-09,,bd-sw-10,Jun
50,Anita,28.0730452 81.5543577 97.94119223795981 4.854,Bardiya,sw,,,bd-sw-16,,60,5.0,1.0,3.4,,2021-07-12,,bd-sw-16,Jul
51,Anita,28.0726545 81.555737 92.11743347701531 4.803,Bardiya,sw,,,bd-sw-14,,10,3.0,1.2,1.7,,2021-07-11,,bd-sw-14,Jul
52,Anita,28.0732531 81.5542073 90.63927340848102 4.854,Bardiya,sw,,,bd-sw-15,,55,3.0,1.0,1.45,,2021-07-11,,bd-sw-15,Jul
53,Anita,28.1973809 81.4788891 97.80697117590267 4.551,Bardiya,sw,,,bd-sw-11,,75,5.0,1.6,2.65,,2021-07-10,,bd-sw-11,Jul
54,Anita,28.2165732 81.4892173 112.27314095395266 4.803,Bardiya,sw,,,bd-sw-10,,60,5.0,1.8,2.6,,2021-07-10,,bd-sw-10,Jul
55,Anita,28.2462445 81.5133919 118.4567225956 4.551,Bardiya,sw,,,bd-sw-07,,45,7.0,2.0,4.55,,2021-07-10,,bd-sw-07,Jul
56,Anita,28.3008148 81.4351818 127.38841524473544 4.803,Bardiya,sw,,,bd-sw-08,,40,5.0,2.0,2.6,,2021-07-10,,bd-sw-08,Jul
57,Anita,28.2897982 81.442027 108.34453365727408 4.854,Bardiya,sw,,,bd-sw-04,,32,5.0,1.6,3.08,,2021-07-10,,bd-sw-04,Jul
58,Anita,28.2433795 81.5760717 123.96791085269248 4.854,Bardiya,sw,,,bd-sw-22,,10,4.0,1.7,2.2,,2021-07-10,,bd-sw-22,Jul
59,Anita,28.2282736 81.5671628 108.88721752823841 4.551,Bardiya,sw,,,bd-sw-21,,40,4.0,1.8,1.8,,2021-07-10,,bd-sw-21,Jul
60,Anita,28.2364799 81.5477235 100.40017757010291 4.551,Bardiya,sw,,,bd-sw-02,,0,3.0,1.0,2,,2021-07-10,,bd-sw-02,Jul
61,Anita,28.2168546 81.3130813 98.63917636431935 4.854,Bardiya,sw,,,bd-sw-13,,10,6.0,1.7,4.2,,2021-07-08,,bd-sw-13,Jul
62,Anita,28.2462792 81.3065368 84.15604330109332 4.854,Bardiya,sw,,,bd-sw-12,,40,14.0,1.7,11.9,,2021-07-08,,bd-sw-12,Jul
63,Anita,28.2462785 81.3065593 83.77972589092016 4.551,Bardiya,sw,,,bd-sw-09,,50,6.0,1.8,3.7,,2021-07-08,,bd-sw-09,Jul
64,Anita,28.1691568 81.3378623 82.37976249806361 4.854,Bardiya,sw,,,bd-sw-06,,40,8.0,1.8,5.8,,2021-07-08,,bd-sw-06,Jul
65,Anita,28.189708 81.3836147 79.90999113590765 4.803,Bardiya,sw,,,bd-sw-05,,30,7.0,1.6,5.1,,2021-07-08,,bd-sw-05,Jul
